Topic,Info
definition of Singapore Citizen,"Those who hold foreign citizenship will not be eligible for the GSTV scheme, regardless of whether they simultaneously hold Singapore citizenship. Please approach the Immigration and Checkpoints Authority (ICA) if you would like to address your citizenship matters."
eligibility u-save-main,"Only Singaporean households living in HDB flats are eligible for the GST Voucher (GSTV) – U-Save. To receive the GSTV – U-Save, you must fulfil the following criteria:
If your flat is partially rented out or not rented out, there must be at least one Singapore citizen owner or occupier; or
If you rent out an entire flat, there must be at least one Singapore citizen tenant;

AND

If your flat is partially rented out or not rented out, all owners and essential occupiers must not own or have any interest in more than one property; or
If you rent out an entire flat, all tenants must not own or have any interest in more than one property.

Under the Budget 2025 and Assurance Package (AP), your household will receive double the amount of GSTV – U-Save, or up to $760, in Financial Year 2025. The additional rebates aim to help Singaporean HDB households cope with increases in their utilities bills."
eligibility u-save notes,"Notes
The amount for COL U-Save includes the additional $20 of U-Save per quarter from the $1.1 billion COL Package announced in September 2023, to cushion the impact of higher utilities bills from increases in carbon tax and water price.
If the flat is partially rented out or not rented out, there must be at least one Singaporean owner or occupier in the household to be eligible for U-Save. If the entire HDB flat is rented out, there must be at least one Singaporean tenant.
Households whose members own more than one property are not eligible for U-Save.
For more information on the GSTV – U-Save, you may fill in this feedback form or contact SP Services at 6671 7117 (Mon-Fri: 8.30am-5.30pm)."
eligibility  S&CC rebate main,"Only Singaporean households living in HDB flats are eligible for the GST Voucher (GSTV) – S&CC Rebate. To receive the GSTV – S&CC Rebate, you must fulfil the following criteria:
There must be at least one Singapore citizen flat owner or occupier in the flat;
The flat owner(s) and essential occupier(s) of the flat do not own or have any interest in a private property; and
The flat owner(s) have not rented out the whole flat.
Eligible Singaporean households living in HDB flats will receive GSTV – S&CC Rebates to offset between 1.5 and 3.5 months of S&CC."
eligibility  S&CC rebate notes,"Notes:
Households with no Singaporean flat owner or occupier in the flat, whose flat owner(s) or essential occupier(s) own or have any interest in a private property, or have rented out the entire flat, are not eligible for the S&CC Rebate.
HDB residents can check or enquire on their household’s eligibility for the GSTV – S&CC Rebate by logging in to My HDBPage via HDB InfoWEB with their Singpass and following these steps: My Flat > Purchased/Rental Flat > View Service & Conservancy Charges (S&CC) Rebate > Write to Us.

Town Councils have the full discretion to determine the S&CC rates applicable for every flat, which may vary by flat type, design and location. As different Town Councils charge different S&CC rates, the amount of S&CC rebate received by households will differ for the same flat type.

For enquiries on your household's S&CC payment and account status, residents can contact your Town Councils. The Town Councils' contact information can be found on the respective Town Councils’ websites."
payment summary,"If you are eligible for the 2025 GST Voucher (GSTV) – Cash and/or GSTV – MediSave and have signed up for a previous Government payout (e.g., 2024 GSTV), you will automatically receive your 2025 GSTV – Cash and/or GSTV – MediSave in August 2025. No further action is required on your part. You may log in to GSTV e-services to check if you have signed up previously.

If you are eligible for 2025 GSTV and have not signed up previously, please sign up by 20 June 2026 via the GSTV e-services."
payment of gst voucher cash,"To receive your benefits earlier, you may wish to link your NRIC to PayNow with the following PayNow-GIRO-participating banks. If your PayNow-NRIC is not linked with any of the participating banks, the payment will either be directly credited to the bank account that was previously used for past payments (if any), or via GovCash.

If you do not have a PayNow-NRIC-linked bank account but have provided your DBS/POSB, OCBC, or UOB bank account number to the Government previously, you will receive your payments via bank transfer. You can check and update your bank account details registered with us by logging in to our e-services with your Singpass.

If you do not have a bank account, the payments will be credited to you via GovCash."
payment of medisave,"If You:	What you need to do to receive your
2025 GSTV – MediSave	Payment Date
Have signed up for Government benefits(e.g. past years' GSTV)	No action required	Credit to CPF MediSave Account:
From 11 August 2025
Have not signed up for Government benefits(e.g. past years' GSTV)	Sign up by 13 July 2025	Credit to CPF MediSave Account:
From 11 August 2025
Sign up from 14 July 2025 to 20 June 2026	Within the next 2 months after sign up"
payment usave,"No action is required to receive the GST Voucher (GSTV) – U-Save. The U-Save rebates will be credited directly into your household’s utilities account managed by SP Services Limited.

Eligible households will receive their quarterly GSTV – U-Save rebates automatically in January, April, July, and October each year. They will be notified through the SP app or hardcopy inserts that will be sent together with their utilities bills.

Any unused U-Save rebates will be rolled over to help offset your household’s utilities bills for subsequent months."
payment S&CC rebate,"No action is required to receive the GST Voucher (GSTV) – Service and Conservancy Charges (S&CC) Rebate. Eligible Singaporean households living in HDB flats will receive their GSTV –S&CC Rebate in January, April, July, and October each year.

HDB residents can check or enquire on their household’s eligibility for the GSTV – S&CC Rebate by logging in to My HDBPage via HDB InfoWEB with their Singpass and following these steps: My Flat > Purchased/Rental Flat > View Service & Conservancy Charges (S&CC) Rebate > Write to Us.

For enquiries on your household's S&CC payment and account status, residents can contact your Town Council. The Town Councils’ contact information can be found on the respective Town Councils’ websites."
How and when will I know if I am eligible for GST Voucher (GSTV) – Cash and/GSTV – MediSave?,You may log in to the e-services to view your eligibility for GSTV – Cash and MediSave.
Can I withdraw my GSTV – MediSave?,"The GSTV – MediSave that is credited to your CPF MediSave Account will form part of your CPF monies and will be subjected to CPF withdrawal rules.

MediSave can be used to pay for your own or your immediate family members’ hospitalisation expenses, incurred at any of the participating medical institutions under the MediSave Scheme.

MediSave can also be used to pay for day surgeries and approved outpatient treatments listed on the CPF website."
How will I know if the GSTV – Cash and/or GSTV – MediSave has been credited to my bank/CPF account?,"You will receive an SMS (with no web links) sent to your Singpass-registered mobile number or a letter sent to your NRIC address after payment has been made.

To update your mobile number, please log in to your Singpass account at the Singpass website."
"Do I qualify for the GSTV – Cash and/or GSTV – MediSave if my Assessable Income (AI) is unavailable, but I meet all other criteria?","You may check if your AI is available by visiting iras.gov.sg [log in to myTax Portal using your Singpass] > Individual Income Tax > View Account Details > View Details > View Notices > Notice of Assessment (Individual) to view your Notice of Assessment.

If your AI is unavailable because you have not filed your tax returns, you may wish to first contact IRAS at 1800 356 8300 to file your income tax returns and thereafter log in to the e-services with your Singpass to reach out to us."
"One of the eligibility criteria for the 2025 GSTV – Cash is that the Income Earned in 2023 (Assessable Income (AI) for the Year of Assessment (YA) 2024) must not exceed $39,000. Why is the AI for YA2024 (instead of YA2025) used?","For Singaporeans to receive their 2025 GSTV – Cash from August 2025, we assess the eligibility based on Income Earned in 2023 (AI for YA2024) because this is the latest tax assessment available."
Why is Annual Value (AV) used instead of flat type?,"AV is currently used as a proxy for wealth and family support. It is a reasonable and best available proxy for the financial resources available to the individual, including from immediate family members who reside with the individual."
Why are both Assessable Income (AI) and Annual Value (AV) used to determine the amount of GSTV – Cash one receives?,"Our social support schemes are means-tested to ensure support is targeted to those with greater needs, and the use of both AI and AV allows us to achieve this objective."
Will my 2025 Annual Value (AV) of my place of residence affect my eligibility for the GSTV – Cash and/or GSTV – MediSave?,"Your eligibility for social support schemes in 2025 will not be affected by your 2025 AV. 2024 AV will be used to determine your scheme eligibility in 2025.

If the AV of your place of residence is not available at the point of determining your eligibility for the GSTV in 2025, you may wish to log in to the e-services with your Singpass to update us when the AV of your residence is available."
How much will I receive if I live in a rented property?,"The amount of GSTV that you receive depends on the Annual Value of your place of residence as stated on your NRIC as at 31 December of the preceding year, regardless of whether you own or rent the property."
"If I own more than one property, will I be eligible for GSTV benefits?","Those who own more than one property will not be eligible for the GSTV scheme. Such properties may include shophouses, private residential properties or non-residential properties such as commercial or industrial properties."
"I own more than one property, but I earn a very low income and am in financial difficulty. Can I get my GSTV?","We may consider your request on a case-by-case basis.

You may log in to the e-services with your Singpass to inform us of your circumstances and appeal for the GSTV with the supporting documents.

If you require further assistance, you may approach any Social Service Office (SSO) within your vicinity who may be able to advise you on the available assistance based on your situation and provide you with the necessary assistance. You may wish to visit the SSO website to locate the nearest SSO to you."
I am residing overseas. Am I eligible for the GSTV?,"The GSTV is meant to offset the GST expenses incurred by Singaporeans residing in Singapore. Therefore, you are not eligible for these benefits if you are residing overseas."
"If the beneficiary passes away before the payment of the GSTV – Cash and/or GSTV – MediSave is made, will he/she still qualify?",No. The GSTV – Cash and/or GSTV – MediSave is only paid to Singapore citizens who are alive.
How will I know if I qualify for the GSTV – U-Save?,No sign-up is required. The GSTV – U–Save will be credited automatically to your household’s utilities account managed by SP Services Limited. No further action is required on your part.
Can unused U-Save be encashed?,No. The GSTV – U-Save is meant to offset a household’s utilities expenses and cannot be encashed for other purposes. U-Save does not expire and any unused U-Save will be rolled over to help offset your household’s utilities bills for subsequent months.
Can I use my GSTV – U-Save to pay for electricity charges under my Open Electric Market (OEM) retailer?,"The GSTV – U-Save can be used to offset electricity charges under your OEM retailer. The rebates will first be used to offset SP Group bill for non-electricity charges including water, gas and refuse collection. Any remaining U-Save will then be used to offset your electricity bills by your OEM retailer."
How can I find out more information on the GSTV – U-Save?,"For further enquiries, you may fill in this feedback form or contact SP Services Limited at 6671 7117 (Mon-Fri: 8.30am-5.30pm)."
How will I know if my household qualifies for the GSTV – Service & Conservancy Charges (S&CC) Rebate?,"Eligible Singaporean households living in HDB flats will receive the S&CC rebates to offset between 1.5 to 3.5 months of S&CC from April 2025 to January 2026 (depending on HDB flat type), if all the following criteria are met:

a. There must be at least one Singapore citizen flat owner or occupier in the flat;
b. The flat owner(s) and essential occupier(s) of the flat do not own or have any interest in a private property; and
c. The flat owner(s) have not rented out the whole flat

HDB Residents can check or enquire on their household's eligibility for S&CC Rebate by logging into My HDBPage via HDB InfoWEB with their Singpass and following these steps: My Flat > Purchased Flat/Rental Flat > View Service & Conservancy Charges (S&CC) Rebate > Write to Us."
Is there any action required on my part if I have already arranged to pay my S&CC through GIRO?,"If you are paying for your S&CC through GIRO, no action is required on your part. The Town Council will arrange with your bank on the amount of S&CC that your household will have to pay, after offsetting against the amount of S&CC Rebate you are eligible for.

If you are not paying for your S&CC through GIRO, you may wish to contact your Town Council regarding S&CC payment matters."
Who can I contact for more information on the GSTV – S&CC Rebate?,"For GSTV – S&CC Rebate eligibility matters, residents can send in their enquiry by logging into My HDBPage via HDB InfoWEB with their Singpass and following these steps: My Flat > Purchased Flat/Rental Flat > View Service & Conservancy Charges (S&CC) Rebate > Write to Us.

For enquiries on your household’s S&CC payment or account status, you may contact your Town Council. The Town Councils’ contact information can be found on the respective Town Councils’ websites."
